0.000000000000000000e+00,1.475576550368911707e-36,1.000000000000000056e-01,1.636040754476848622e-36,-3.093141151589740277e-35,1.177598142836684192e-16,-3.433577672778630715e-35,7.738740440675475073e-34,-2.538045728881204207e-15,3.358607765490054589e-34
1.000349519711705082e-03,1.444634327714980255e-36,1.000000000000000056e-01,1.601693045708689552e-36,-3.015726698759702226e-35,1.152208814577757721e-16,-3.399979833160652492e-35,7.643381349208038250e-34,-2.421079871470318312e-15,3.380435263406659107e-34
2.000699039423410163e-03,1.413692105061048802e-36,1.000000000000000056e-01,1.567345336940530481e-36,-2.938312245929664175e-35,1.126819486318831004e-16,-3.366381993542673735e-35,7.548022257740602283e-34,-2.304114014059432416e-15,3.402262761323263625e-34
3.001048559135115028e-03,1.382749882407117517e-36,1.000000000000000056e-01,1.532997628172371411e-36,-2.860897793099626124e-35,1.101430158059904533e-16,-3.332784153924695513e-35,7.452663166273165461e-34,-2.187148156648546126e-15,3.424090259239868143e-34
4.001398078846820326e-03,1.351807659753186065e-36,1.000000000000000056e-01,1.498649919404212340e-36,-2.783483340269588073e-35,1.076040829800977938e-16,-3.299186314306717290e-35,7.357304074805729493e-34,-2.070182299237660230e-15,3.445917757156472660e-34
5.001747598558525625e-03,1.320865437099254612e-36,1.000000000000000056e-01,1.464302210636053269e-36,-2.706068887439550022e-35,1.050651501542051344e-16,-3.265588474688738533e-35,7.261944983338292671e-34,-1.953216441826774334e-15,3.467745255073077178e-34
6.002097118270230056e-03,1.289923214445323160e-36,1.000000000000000056e-01,1.429954501867894199e-36,-2.628654434609511971e-35,1.025262173283124750e-16,-3.231990635070760311e-35,7.166585891870855848e-34,-1.836250584415888438e-15,3.489572752989681696e-34
7.002446637981935354e-03,1.258980991791391708e-36,1.000000000000000056e-01,1.395606793099735128e-36,-2.551239981779473920e-35,9.998728450241981556e-17,-3.198392795452782088e-35,7.071226800403419881e-34,-1.719284727005002345e-15,3.511400250906286214e-34
8.002796157693640652e-03,1.228038769137460422e-36,1.000000000000000056e-01,1.361259084331576058e-36,-2.473825528949435869e-35,9.744835167652716846e-17,-3.164794955834803331e-35,6.975867708935983058e-34,-1.602318869594116449e-15,3.533227748822890732e-34
9.003145677405345951e-03,1.197096546483528970e-36,1.000000000000000056e-01,1.326911375563416987e-36,-2.396411076119397551e-35,9.490941885063450904e-17,-3.131197116216825109e-35,6.880508617468547091e-34,-1.485353012183230356e-15,3.555055246739495249e-34
1.000349519711705125e-02,1.166154323829597518e-36,1.000000000000000056e-01,1.292563666795257917e-36,-2.318996623289359500e-35,9.237048602474184961e-17,-3.097599276598846351e-35,6.785149526001110269e-34,-1.368387154772344263e-15,3.576882744656099767e-34
1.100384471682875655e-02,1.135212101175666065e-36,1.000000000000000056e-01,1.258215958027098846e-36,-2.241582170459321182e-35,8.983155319884919019e-17,-3.064001436980868129e-35,6.689790434533673446e-34,-1.251421297361458367e-15,3.598710242572704285e-34
1.200419423654046011e-02,1.104269878521734613e-36,1.000000000000000056e-01,1.223868249258939775e-36,-2.164167717629283399e-35,8.729262037295653076e-17,-3.030403597362889906e-35,6.594431343066237479e-34,-1.134455439950572472e-15,3.620537740489308803e-34
1.300454375625216541e-02,1.073327655867803328e-36,1.000000000000000056e-01,1.189520540490780705e-36,-2.086753264799245348e-35,8.475368754706388367e-17,-2.996805757744911684e-35,6.499072251598800656e-34,-1.017489582539686576e-15,3.642365238405913321e-34
1.400489327596387071e-02,1.042385433213871875e-36,1.000000000000000056e-01,1.155172831722621634e-36,-2.009338811969207030e-35,8.221475472117122424e-17,-2.963207918126932927e-35,6.403713160131364689e-34,-9.005237251288004827e-16,3.664192736322517838e-34
1.500524279567557601e-02,1.011443210559940423e-36,1.000000000000000056e-01,1.120825122954462564e-36,-1.931924359139168979e-35,7.967582189527856482e-17,-2.929610078508954704e-35,6.308354068663927866e-34,-7.835578677179145869e-16,3.686020234239121928e-34
1.600559231538728130e-02,9.805009879060091379e-37,1.000000000000000056e-01,1.086477414186303493e-36,-1.854509906309130928e-35,7.713688906938590539e-17,-2.896012238890975947e-35,6.212994977196491044e-34,-6.665920103070286911e-16,3.707847732155726874e-34
1.700594183509898660e-02,9.495587652520775185e-37,1.000000000000000056e-01,1.052129705418144422e-36,-1.777095453479092877e-35,7.459795624349324597e-17,-2.862414399272997725e-35,6.117635885729055077e-34,-5.496261528961424008e-16,3.729675230072330964e-34
1.800629135481069190e-02,9.186165425981462332e-37,1.000000000000000056e-01,1.017781996649985352e-36,-1.699681000649054826e-35,7.205902341760059887e-17,-2.828816559655019502e-35,6.022276794261618254e-34,-4.326602954852565050e-16,3.751502727988935910e-34
1.900664087452239720e-02,8.876743199442147809e-37,1.000000000000000056e-01,9.834342878818262813e-37,-1.622266547819016775e-35,6.952009059170792712e-17,-2.795218720037040745e-35,5.926917702794181431e-34,-3.156944380743706092e-16,3.773330225905540000e-34
2.000699039423410250e-02,8.567320972902833286e-37,1.000000000000000056e-01,9.490865791136672108e-37,-1.544852094988978724e-35,6.698115776581528002e-17,-2.761620880419062523e-35,5.831558611326745464e-34,-1.987285806634843189e-16,3.795157723822144945e-34
2.100733991394580780e-02,8.257898746363518762e-37,1.000000000000000056e-01,9.147388703455081402e-37,-1.467437642158940406e-35,6.444222493992262059e-17,-2.728023040801083766e-35,5.736199519859309497e-34,-8.176272325259842310e-17,3.816985221738749035e-34
